task,model,actual_index,predicted_index,count
primary_disease_class,gradient_boosting,3,2,1
primary_disease_class,gradient_boosting,3,3,4
primary_disease_class,gradient_boosting,3,4,0
primary_disease_class,gradient_boosting,3,5,1
primary_disease_class,gradient_boosting,3,6,0
primary_disease_class,gradient_boosting,3,7,0
primary_disease_class,gradient_boosting,3,8,0
primary_disease_class,gradient_boosting,3,9,1
primary_disease_class,gradient_boosting,3,10,0
primary_disease_class,gradient_boosting,4,0,4
primary_disease_class,gradient_boosting,4,1,0
primary_disease_class,gradient_boosting,4,2,2
primary_disease_class,gradient_boosting,4,3,0
primary_disease_class,gradient_boosting,4,4,4
primary_disease_class,gradient_boosting,4,5,1
primary_disease_class,gradient_boosting,4,6,0
primary_disease_class,gradient_boosting,4,7,1
primary_disease_class,gradient_boosting,4,8,1
primary_disease_class,gradient_boosting,4,9,6
primary_disease_class,gradient_boosting,4,10,0
primary_disease_class,gradient_boosting,5,0,4
primary_disease_class,gradient_boosting,5,1,0
primary_disease_class,gradient_boosting,5,2,0
primary_disease_class,gradient_boosting,5,3,0
primary_disease_class,gradient_boosting,5,4,1
primary_disease_class,gradient_boosting,5,5,0
primary_disease_class,gradient_boosting,5,6,0
primary_disease_class,gradient_boosting,5,7,0
primary_disease_class,gradient_boosting,5,8,0
primary_disease_class,gradient_boosting,5,9,2
primary_disease_class,gradient_boosting,5,10,0
primary_disease_class,gradient_boosting,6,0,2
primary_disease_class,gradient_boosting,6,1,0
primary_disease_class,gradient_boosting,6,2,1
primary_disease_class,gradient_boosting,6,3,0
primary_disease_class,gradient_boosting,6,4,0
primary_disease_class,gradient_boosting,6,5,0
primary_disease_class,gradient_boosting,6,6,2
primary_disease_class,gradient_boosting,6,7,0
primary_disease_class,gradient_boosting,6,8,0
primary_disease_class,gradient_boosting,6,9,3
primary_disease_class,gradient_boosting,6,10,0
primary_disease_class,gradient_boosting,7,0,1
primary_disease_class,gradient_boosting,7,1,0
primary_disease_class,gradient_boosting,7,2,1
primary_disease_class,gradient_boosting,7,3,1
primary_disease_class,gradient_boosting,7,4,0
primary_disease_class,gradient_boosting,7,5,0
primary_disease_class,gradient_boosting,7,6,0
primary_disease_class,gradient_boosting,7,7,7
primary_disease_class,gradient_boosting,7,8,0
primary_disease_class,gradient_boosting,7,9,0
primary_disease_class,gradient_boosting,7,10,0
primary_disease_class,gradient_boosting,8,0,0
primary_disease_class,gradient_boosting,8,1,0
primary_disease_class,gradient_boosting,8,2,0
primary_disease_class,gradient_boosting,8,3,1
primary_disease_class,gradient_boosting,8,4,0
primary_disease_class,gradient_boosting,8,5,0
primary_disease_class,gradient_boosting,8,6,1
primary_disease_class,gradient_boosting,8,7,0
primary_disease_class,gradient_boosting,8,8,0
primary_disease_class,gradient_boosting,8,9,2
primary_disease_class,gradient_boosting,8,10,1
primary_disease_class,gradient_boosting,9,0,4
primary_disease_class,gradient_boosting,9,1,0
primary_disease_class,gradient_boosting,9,2,1
primary_disease_class,gradient_boosting,9,3,0
primary_disease_class,gradient_boosting,9,4,3
primary_disease_class,gradient_boosting,9,5,0
primary_disease_class,gradient_boosting,9,6,1
primary_disease_class,gradient_boosting,9,7,0
primary_disease_class,gradient_boosting,9,8,0
primary_disease_class,gradient_boosting,9,9,18
primary_disease_class,gradient_boosting,9,10,0
primary_disease_class,gradient_boosting,10,0,1
primary_disease_class,gradient_boosting,10,1,0
primary_disease_class,gradient_boosting,10,2,0
primary_disease_class,gradient_boosting,10,3,0
primary_disease_class,gradient_boosting,10,4,3
primary_disease_class,gradient_boosting,10,5,0
primary_disease_class,gradient_boosting,10,6,0
primary_disease_class,gradient_boosting,10,7,1
primary_disease_class,gradient_boosting,10,8,0
primary_disease_class,gradient_boosting,10,9,2
primary_disease_class,gradient_boosting,10,10,0
in_hospital_mortality,dummy,0,0,147
in_hospital_mortality,dummy,0,1,0
in_hospital_mortality,dummy,1,0,3
in_hospital_mortality,dummy,1,1,0
in_hospital_mortality,logistic_regression,0,0,144
in_hospital_mortality,logistic_regression,0,1,3
in_hospital_mortality,logistic_regression,1,0,1
in_hospital_mortality,logistic_regression,1,1,2
in_hospital_mortality,random_forest,0,0,147
in_hospital_mortality,random_forest,0,1,0
in_hospital_mortality,random_forest,1,0,2
in_hospital_mortality,random_forest,1,1,1
in_hospital_mortality,gradient_boosting,0,0,147
in_hospital_mortality,gradient_boosting,0,1,0
in_hospital_mortality,gradient_boosting,1,0,3
in_hospital_mortality,gradient_boosting,1,1,0
